mammal_species,mammal_scientific_name,mammal_group,male_body_size (kg),female_body_size (kg),body_size,vision,activity_pattern,home_range (squarekm),maximum_jaw_gape(mm),IUCN_status,reference
Addax,Addax_nasomaculatus,herbivore,125,125,125,NA,Nocturnal,NA,NA,Critically Endangered,"https://animaldiversity.org/accounts/Addax_nasomaculatus/, Seri et al 2018"
Blackbuck,Antilope_cervicapra,herbivore,45,39,42,NA,Diurnal,13,NA,Least concern,"Menon 2014, Choudhary & Chisty 2022, Prasad 1982"
Binturong,Arctictis_binturong,carnivore,20,20,20,NA,Nocturnal,6.9,73.16333337,Vulnerable,"Wilcox et al 2016, Grassman et al 2005, Sivault et al 2021"
Small toothed Palm Civet,Arctogalidia_trivirgata,carnivore,2.5,2.5,2.5,NA,Nocturnal,NA,57.21000003,Least concern,"Mudappa 2013, Wilcox et al 2012, Sivault et al 2021"
Hog Badger,Arctonyx_collaris,carnivore,21.5,21.5,21.5,NA,Nocturnal,0.5,NA,Vulnerable,"Lopatin 2020, Bu et al 2016, Chen et al 2015"
Spotted Deer,Axis_axis,herbivore,72,72,72,Dichromatic,Diurnal,1.69,NA,Least concern,"Sridhara et al 2017, Kumar et al 2023, "
Indian hog deer,Axis_porcinus,herbivore,37,37,37,Dichromatic,cathemeral,0.46,NA,Endangered,"Sridhara et al 2017, Dhungel & O'gara 1995, Odden & Wegge 2007"
Buru babirusa,Babyrousa_babyrussa,herbivore,100,100,100,NA,Diurnal,,NA,Vulnerable,"https://animals.sandiegozoo.org/animals/babirusa, patry et al 1995"
Bear sp,Bear_sp,carnivore,102.5,102.5,102.5,NA,cathemeral,NA,NA,,
Gaur,Bos_gaurus,herbivore,1000,1000,1000,NA,cathemeral,169,NA,Vulnerable,"Menon 2014, Ramesh et al 2015, Sankar et al 2013"
Nilgai,Boselaphus_tragocamelus,herbivore,240,240,240,NA,cathemeral,7.3,NA,Least concern,"Sridhara et al 2017, Bayani & Watve 2016, Sankar & Goyal 2004"
Golden Jackal,Canis_aureus,carnivore,9.8,7.8,8.8,Dichromatic,Nocturnal,50,NA,Least concern,"Menon 2014, Kamler et al 2021, Jacobs et al 1992, Majumder et al 2011"
Sika Deer,Cervus_nippon,herbivore,126,83,104.5,Dichromatic,cathemeral,0.2,NA,Least concern,"Kubo & Takatsuki 2015, Ikeda et al 2015, Borkowski & Furubyashi 1998"
Owston's Civet,Chrotogale_owstoni,carnivore,4,4,4,NA,Nocturnal,NA,NA,Endangered,"Moresco & larsen 2014, Gray et al 2014"
Civet sp.,Civet_sp.,carnivore,6.42,6.42,6.42,NA,Nocturnal,NA,NA,,
Deer sp.,Deer_sp.,herbivore,54,54,54,Dichromatic,Diurnal,NA,NA,,
Sumatran Rhinoceros,Dicerorhinus_sumatrensis,herbivore,750,750,750,monochromatic,cathemeral,50,NA,Critically Endangered,"Sridhara et al 2017, Awaliah et al 2017, IUCN red list"
Elephant,Elephas_maximus,herbivore,5400,3300,4350,Dichromatic,cathemeral,800,NA,Endangered,"Menon 2014, Kuhrt et al 2017, Fiori 2021, Baskaran et al 2018"
Farasan Gazelle,Gazella_arabica,herbivore,29.5,25.4,27.45,NA,cathemeral,NA,NA,Vulnerable,https://www.science.smith.edu/departments/biology/VHAYSSEN/msi/pdf/i0076-3519-490-01-0001.pdf
Chinkara,Gazella_bennettii,herbivore,23,23,23,NA,Diurnal,2.58,NA,Least concern,"B.R. Jaipal 2020, Menon 2014, Bohra et al 1992"
Dorcas gazelle,Gazella_dorcas,herbivore,20,20,20,NA,cathemeral,NA,NA,Vulnerable,"Abaigar et al 2017, https://animalia.bio/dorcas-gazelle"
Sunbear ,Helarctos_malayanus,carnivore,80,80,80,NA,Diurnal,14.8,NA,Vulnerable,"Menon 2014, Wong et al 2004"
Indian Grey Moongoose,Herpestes_edwardsii,carnivore,1.4,1.4,1.4,Dichromatic,Diurnal,0.15,NA,Least concern,"Menon 2014, Troscianko et al 2016, Selvan et al 2019, Kumar & Umapathy 1999"
Brown mongoose,Herpestes_fuscus,carnivore,2.5,2.5,2.5,Dichromatic,cathemeral,NA,NA,Least concern,"Menon 2014, Kamath & Seshadri 2019, Troscianko et al 2016"
Western Hoolock Gibbon,Hoolock_hoolock,primate,6.88,6.88,6.88,NA,Diurnal,1.61,57.54499995,Endangered,"Lim et al 2020, Sivault et al 2021"
Eastern Hoolock Gibbon,Hoolock_leuconedys,primate,7.2,7.2,7.2,NA,Diurnal,1.07,NA,Vulnerable,"Lim et al 2020, Gupta et al 2005"
Bornean white-bearded gibbon,Hylobates_albibarbis,primate,6.9,6.4,6.65,NA,Diurnal,NA,NA,Endangered,Animalia.bio
Slender loris,Loris_lydekkerianus,primate,0.27,0.27,0.27,Dichromatic,Nocturnal,0.14,NA,Near Threatened,"Lim et al 2020, Surridge et al 2003"
Stump-tailed Macaque,Macaca_arctoides,primate,10.3,10.3,10.3,trichormatic,Diurnal,4.61,NA,Vulnerable,"Lim et al 2020, Surridge et al 2003"
Assamese Macaque,Macaca_assamensis,primate,9,9,9,trichormatic,Diurnal,2.33,64.06750006,Near Threatened,"Lim et al 2020, Li et al 2019, Sivault et al 2021"
Crab-eating macaque,Macaca_fascicularis,primate,4.03,4.03,4.03,trichormatic,Diurnal,1.57,71.50250006,Endangered,"Lim et al 2020, Surridge et al 2003, Sivault et al 2021"
Japanese macaque,Macaca_fuscata,primate,9.5,9.5,9.5,trichormatic,Diurnal,3.14,NA,Least concern,"Lim et al 2020, Surridge et al 2003"
Pig Tailed Macaque,Macaca_leonina,primate,6.7,6.7,6.7,trichormatic,Diurnal,2.15,NA,Vulnerable,"Lim et al 2020, Surridge et al 2003"
Rhesus Macaque,Macaca_mulatta,primate,5.96,5.96,5.96,trichormatic,Diurnal,0.65,59.15249997,Least concern,"Lim et al 2020, Surridge et al 2003, Sivault et al 2021"
Arunachal Macaque,Macaca_munzala,primate,15,15,15,trichormatic,Diurnal,0.55,NA,Endangered,Sinha et al 2013
Bonnet Macaque,Macaca_radiata,primate,5.14,5.14,5.14,trichormatic,Diurnal,0.26,NA,Vulnerable,"Lim et al 2020, Surridge et al 2003"
Lion-tailed Macaque,Macaca_silenus,primate,7.5,7.5,7.5,trichormatic,Diurnal,3.12,NA,Endangered,"Lim et al 2020, Surridge et al 2003"
Tonkean macaque,Macaca_tonkeana,primate,11.95,11.95,11.95,trichormatic,Diurnal,1.04,NA,Vulnerable,"Lim et al 2020, Surridge et al 2003"
Yellow Throated Marten,Martes_flavigula,carnivore,3,3,3,NA,Diurnal,7.2,NA,Least concern,"Menon 2014, Grassman et al 2005"
Japanese Marten,Martes_melampus,carnivore,2,1,1.5,NA,cathemeral,2.86,NA,Least concern,"Tsuji et al 2015, Ikeda et al 2016, Tsuji et al 2016"
Japanese Badger,Meles_anakuma,carnivore,11,11,11,NA,Nocturnal,0.62,NA,Least concern,"Tanaka 2006, Tanaka 2005, Kaneko et al 2014"
